epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10329.8,1.0568,0.92655,1.36834,0.92086,0.9409,0.94177,0.55889,1.39059,0.59944,1.74577,0.004456,0.004456,0.004456
58,10518,1.05552,0.92185,1.36566,0.92383,0.94513,0.94577,0.54952,1.39485,0.58568,1.74557,0.004357,0.004357,0.004357
59,10705.2,1.06088,0.93368,1.36998,0.92304,0.93875,0.93882,0.55877,1.36739,0.59213,1.73869,0.004258,0.004258,0.004258
60,10891.7,1.05132,0.92473,1.36957,0.92093,0.94057,0.94027,0.55731,1.37161,0.58378,1.75513,0.004159,0.004159,0.004159
61,11080.3,1.04695,0.92245,1.36256,0.92449,0.94207,0.94267,0.5586,1.37468,0.58334,1.74518,0.00406,0.00406,0.00406
62,11265.6,1.051,0.92546,1.36038,0.92306,0.94307,0.94469,0.55672,1.3899,0.59011,1.75125,0.003961,0.003961,0.003961
63,11451.9,1.05496,0.89513,1.36013,0.9285,0.94765,0.94904,0.55137,1.43894,0.57609,1.77543,0.003862,0.003862,0.003862
64,11637.9,1.04648,0.90071,1.35362,0.9253,0.94491,0.94635,0.55721,1.42837,0.58769,1.77042,0.003763,0.003763,0.003763
65,11826,1.05227,0.89133,1.35985,0.92481,0.94312,0.94507,0.55089,1.4116,0.58173,1.7514,0.003664,0.003664,0.003664
66,12010.7,1.04041,0.89282,1.354,0.91853,0.94202,0.94436,0.55019,1.39475,0.58908,1.7517,0.003565,0.003565,0.003565
67,12196.2,1.04601,0.89687,1.35951,0.92013,0.94277,0.94584,0.55371,1.40307,0.57426,1.75132,0.003466,0.003466,0.003466
