epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,561.138,0.65766,0.66906,1.08717,0.93261,0.85852,0.93984,0.86224,0.45794,0.53695,0.90571,0.000158275,0.000158275,0.000158275
55,573.048,0.69938,0.69496,1.127,0.92587,0.87967,0.94726,0.87859,0.4552,0.50726,0.9086,0.000154978,0.000154978,0.000154978
56,584.278,0.62908,0.63715,1.075,0.91254,0.89363,0.94584,0.86614,0.46721,0.50401,0.91698,0.000151682,0.000151682,0.000151682
57,594.84,0.67535,0.68428,1.08957,0.9186,0.88055,0.95657,0.88953,0.41972,0.50281,0.89461,0.000148385,0.000148385,0.000148385
58,605.658,0.66438,0.65566,1.08284,0.89435,0.88367,0.93101,0.85044,0.47915,0.51728,0.92452,0.000145088,0.000145088,0.000145088
59,616.213,0.65362,0.64013,1.08267,0.90251,0.86676,0.95224,0.86895,0.4702,0.54314,0.9156,0.000141791,0.000141791,0.000141791
60,626.198,0.64573,0.64007,1.07262,0.93727,0.87982,0.95422,0.87648,0.47147,0.45233,0.92337,0.000138495,0.000138495,0.000138495
61,636.201,0.65495,0.62746,1.09287,0.93283,0.88564,0.95139,0.87432,0.46659,0.44821,0.91294,0.000135198,0.000135198,0.000135198
62,646.149,0.62048,0.62268,1.06161,0.90992,0.90391,0.9569,0.88718,0.43466,0.45837,0.90488,0.000131901,0.000131901,0.000131901
63,656.1,0.65445,0.64563,1.07584,0.89402,0.90317,0.95749,0.88877,0.43309,0.43334,0.89736,0.000128605,0.000128605,0.000128605
64,666.037,0.62616,0.62418,1.06664,0.87266,0.91145,0.95554,0.86571,0.51036,0.48121,0.9344,0.000125308,0.000125308,0.000125308
65,675.951,0.64002,0.62967,1.08423,0.93734,0.85477,0.94817,0.88199,0.41388,0.48711,0.88992,0.000122011,0.000122011,0.000122011
66,686.059,0.62617,0.60862,1.0648,0.93468,0.8632,0.96143,0.88145,0.46652,0.46818,0.90633,0.000118714,0.000118714,0.000118714
67,696.04,0.62441,0.62198,1.06521,0.92207,0.88132,0.95749,0.88212,0.46419,0.47932,0.90652,0.000115418,0.000115418,0.000115418
